date; entreprise; etat; lien
08/01; Everyware; interessant mais annonce qui date de 1mois; https://www.linkedin.com/jobs/view/4089523246/?alternateChannel=search&refId=%2FG99mq0UpxkX0TPZDd9h4g%3D%3D&trackingId=bmr5n%2F6zY5JRNd0vRJNmwg%3D%3D&trk=d_flagship3_postapply_premium_top_choice&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3BbjhohCr%2FRNaCux0qYhQmAg%3D%3D
08/01; Dispatcher; que du front, back en go. Entreprise veut faire un point, à voir;https://www.welcometothejungle.com/fr/companies/dispatcher/jobs/dev-frontend-vue-js-experimente_paris?q=245a8044a26eb4b253b9193aa7585102&o=7a6baea6-fa8d-4125-a813-cf13c62a26ad
08/01; Advanced Schema; peut etre interessant, faut avoir plus de detail;https://www.linkedin.com/jobs/view/4015911055/?eBP=CwEAAAGURUsjlYzqvYocmIRioWFzgusUmHxXCSBy2ngwFPGMjT6zYcUH0x19eQCVl0Fo80k46yKYKWN7caOO13NeVfM_9AwqaFhm6yPyVpCOCVplRNM12PPG1XuPY9PDxETRXTeL5072VNSx9SPDhCHCbbFz7EIjYMNRNTt-9uC10BuuJHC5KgD3_eklJMfI7b9KyrMzPZ1L4DVG2Z9lWYtuvgV9JXlZ5Mrkw2uEz6KaeTq5lSQXVctj38JZ620F8FEvcsHPSwFN5As7GMNNG-8qzc6KWJznUhWrX3lS-es5HULol0ilJuEE1I9zTM3xui0L4Iw-NAmrLKdh5gM_hKL-MPK_KSDHTwtccoYCETxFMTK19sWDOO266zhEVL84BUnMV0JWG9VSRE6RlW4WzW5Em7CVUGZ5JTcOiwQl8yGJuXhfFnPqldAgUhrGc50-QsJq5hR_DgbJ0Ycwy30qSmor8gwq5RtvMthM4c19b5g4nL4&refId=zOeyUdrClZwJhnZLQe%2BeqA%3D%3D&trackingId=MJi6SuT%2BrpfCVa1FgeAnCQ%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3B00LBBiesSRGo0BEGNOWMmA%3D%3D&lici=MJi6SuT%2BrpfCVa1FgeAnCQ%3D%3D
08/01; inbolt; Interessant mais back en python. candidature plus acceptée donc peut etre mort ;https://www.linkedin.com/jobs/view/4092807412/?eBP=CwEAAAGURUsjlX0OBcb-n11sAjYbGQKh6vQRoSikIC-9c9KtA9AJPqJOJJiXQgLC4y97rD7IIy-XhhSUHitUOg6MAx3HpplrYNU5BeH3HeAYz_kKQwj4bNrjzeCYQV7KcEuOGZ6pGUTHUff3ZgG9B0lZ2mdzacinfFLEWZUriLn8yvN_59rT1FCRb66Uua9mFQ6kLNMQo9BIRHabM1GZmtpjdRcT9KQGib9mFWKtxewu7bRRko4skiEFNCo16JIi175zjcVUsoa7rbQVCZsEnGQtuOWso3Do4EPwd9qdCqXerfs0htS5kZTmSfXz6zbqvZIYyZhiGek70W2BPUEvzeArmorTZ43TOmYQ64sL23YAhyzhBpuKdVJHT0JLnSEfSqjl84Xiy5nucuPUpNIDJDD9KQCmquaNZQ765ETaPulQ7WrHXZoQGjFOqBikzBocQFUkLQ_l3YDO0iFvHOzXCrQPdrAYYkt1FThwRN5gF-EQ&refId=zOeyUdrClZwJhnZLQe%2BeqA%3D%3D&trackingId=3Y0FCtXFzTi0fZ47o3JRnA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3BuD00yEgYQh6SddohvPw5nw%3D%3D&lici=3Y0FCtXFzTi0fZ47o3JRnA%3D%3D
08/01; Onepoint; ESN, bof, 13 janvier demande d'échange;https://www.linkedin.com/jobs/view/4059322860/?eBP=CwEAAAGURUsjlahTbw82tg2Tw-8uJ3EiTMQp3T1fjF5MOPoNIoVfbvhs4DlEY4bjlWgfMTODTP_8uJRSlaTMJ8dvVtH0GVxeFfxkuqnZacJd8sy7NnYsGxM9H19YJtsPLugP8EjPPZpBA-buvQo5CpDxsotMEoVK8ZPd8A1SKS2xmw5NOgganfOdpgfrxBw9_hr9l68bStkMNl8YScltHGXv_AoAB5raS8cZswLDPwzxuTi_ay4sOPq63-W8qxi54YFkidMvWAaK6EDxkwTE5XFw5HHZoba3YKqKxp_qhgl2cdlkP5Q7zs1g9qUIvj6avhwUPAK2ZtzjSVleevcntyrs2tErsCRxV-XNEI647FlIKPUNoIizj9PyJ1SPY__MChf6fU9occOY8lQxcQ2TsaCx0YjAGjhSPcYGrPzZSHv_4220efeC8ATq8Iz34SRf_47rBKjsOyHds6VGKsP_AtKRX6trsUe4Z3iy0AF8rvW4uPjiDA&refId=zOeyUdrClZwJhnZLQe%2BeqA%3D%3D&trackingId=j%2FhVdxyGZOSkOT0oAjZHFA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3BuD00yEgYQh6SddohvPw5nw%3D%3D&lici=j%2FhVdxyGZOSkOT0oAjZHFA%3D%3D
08/01; Scality; interessant;https://www.linkedin.com/jobs/view/3844054677/?eBP=CwEAAAGURYnAtJcclwd5bDbI-YJ1JJrCRJoWPSbVyAa5S4W4SVuR6x0TpMkGr79kUW5q7sgDc6TDoJX1eMFmM2DlJ4N75SUcopItM-WxBU90WtbPMWzzzuUP94nSy8suu_EEoI6Ut8yzN4DYiJ_RdpM-KQt7XHsWk3Vji5tS3l8nr5cC8rEKAai4Dzrd6KXobUMDZxe5iN5NvLI1rdLcDuFDDoh7xtXULWc4tGYQkt_Nz7LVfPLO6Bslq5Ai4WmIItCZ-dUSIKg6hNp5cmtyScghQ0sG48qhfve6aiVJXF7F3gucwXL1dT6ApEW3SJwoOTpCYrNV4ypG1ZmDG7yzOyd5ZLmJF4ieOxM_mAbdBuGF-W_QKtF0q8yfoh97UIElrOGamc4MLAGxjaGEYNITJf8vqkYkmnt9Qp-pwqnyvACFBS__ybBg-fil5_EyHA-JSooON-cftjXp5bXvK_-ZkrYB_j5_UoOP2SDm-mW6NFql&refId=XKPLHB%2BhJ9DuCatDIg16uA%3D%3D&trackingId=nHf%2FhXeKE4y5%2BJayb1ax6Q%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3BuD00yEgYQh6SddohvPw5nw%3D%3D&lici=nHf%2FhXeKE4y5%2BJayb1ax6Q%3D%3D
09/01; BimBamJob; Job interessant. Contacté vendredi 10 pour le poste.;https://welovedevs.com/fr/app/jobs?query=&refinementList%5BsmallCompany.id%5D%5B0%5D=LzymO0RHLZRKy3B13mXRXZcACZr2&jobId=lead-dev-fullstack-js-fh-bimbamjob
09/01; Kiosk; interessant mais des tech que je ne connais;https://welovedevs.com/fr/app/job/fullstack-engineer-kiosk
09/01; inbolt; Interessant mais back en python.;https://www.linkedin.com/jobs/view/4117157423/?refId=sQfXVxqm9ZnXylmSSLAzpA%3D%3D&trackingId=sQfXVxqm9ZnXylmSSLAzpA%3D%3D
09/01; KAIMAN; Fullstack, Vue, Vuetify;https://www.linkedin.com/jobs/view/4118615644/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nDH%2Ff7GE9VdTlPts3gRr%2FQ%3D%3D&trackingId=guerMunXMM1sE5Fv%2FsgEgA%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_job_collections_discovery_landing%3BMuc7mCEGS1ykhGdkcuSNaQ%3D%3D&lici=guerMunXMM1sE5Fv%2FsgEgA%3D%3D
